0,1,target,probability
0,5,10,2.99934010888403e-10
0,6,0,2.99934010888403e-10
0,6,1,2.99934010888403e-10
0,6,2,9.999300033001208e-06
0,6,3,4.999600027498789e-06
0,6,4,5.9989501583778585e-05
0,6,5,1.9996700483933455e-05
0,6,6,0.49995000764892206
0,6,7,0.4999100144479102
0,6,8,4.499160130331489e-05
0,6,9,2.99934010888403e-10
0,6,10,2.99934010888403e-10
0,7,0,2.999340108884031e-10
0,7,1,2.999340108884031e-10
0,7,2,3.572142656821143e-06
0,7,3,2.8572142354387673e-06
0,7,4,5.570472999965856e-05
0,7,5,1.9996700483933458e-05
0,7,6,0.28571142844292
0,7,7,0.4999100144479102
0,7,8,0.2142921403504737
0,7,9,2.1426857260709097e-06
0,7,10,2.1426857260709097e-06
0,8,0,2.99934010888403e-10
0,8,1,2.99934010888403e-10
0,8,2,6.666699912018954e-06
0,8,3,3.3332999670076605e-06
0,8,4,5.9989501583778585e-05
0,8,5,1.9996700483933455e-05
0,8,6,0.3333200015998093
0,8,7,0.666540020497023
0,8,8,4.9990501484788274e-05
0,8,9,2.99934010888403e-10
0,8,10,2.99934010888403e-10
0,9,0,2.999340108884031e-10
0,9,1,2.999340108884031e-10
0,9,2,1.4996700544420156e-09
0,9,3,3.333299967007661e-06
0,9,4,5.665690146279635e-05
0,9,5,1.9996700483933458e-05
0,9,6,0.33332000159980935
0,9,7,0.3332800083987975
0,9,8,0.3333166677999522
0,9,9,3.3329000549931443e-06
0,9,10,2.999340108884031e-10
0,10,0,2.999340108884031e-10
0,10,1,2.999340108884031e-10
0,10,2,1.4996700544420156e-09
0,10,3,3.333299967007661e-06
0,10,4,5.665690146279635e-05
0,10,5,1.9996700483933458e-05
0,10,6,0.33332000159980935
0,10,7,0.3332800083987975
0,10,8,0.3333166677999522
0,10,9,3.3329000549931443e-06
0,10,10,2.999340108884031e-10
1,0,0,4.99920011548427e-06
1,0,1,4.99920011548427e-06
1,0,2,0.1999790036994401
1,0,3,1.3997620354150875e-05
1,0,4,0.2999920008299141
1,0,5,0.19997600395941922
1,0,6,0.2000059989601561
1,0,7,0.09999300102985807
1,0,8,2.7995340686305385e-05
1,0,9,1.999860006600241e-06
1,0,10,2.9993401088840293e-10
1,1,0,2.9993401088840293e-10
1,1,1,2.9993401088840293e-10
1,1,2,7.999739960411854e-06
1,1,3,3.9998199912041125e-06
1,1,4,5.7989941511189226e-05
1,1,5,1.9996700483933458e-05
1,1,6,0.3999720040194544
1,1,7,0.3999320108184425
1,1,8,0.20000399820034753
1,1,9,1.999860006600241e-06
1,1,10,2.9993401088840293e-10
1,2,0,2.726972760269098e-06
1,2,1,2.726972760269098e-06
1,2,2,0.07273290847097728
1,2,3,0.036365999740028604
1,2,4,0.2545420003799582
1,2,5,0.09090909090909091
1,2,6,0.2727218187817522
1,2,7,0.09090545494541058
1,2,8,0.16363200047994725
