0,1,target,probability
1,9,6,0.4666240064390995
1,9,7,0.13332000201971694
1,9,8,0.2666500019397748
1,9,9,6.665500175975399e-06
1,9,10,3.332900054993143e-06
1,10,0,2.99934010888403e-10
1,10,1,2.99934010888403e-10
1,10,2,1.599798025076927e-05
1,10,3,5.9993800637934665e-06
1,10,4,5.99895015837786e-05
1,10,5,0.3999320112183546
1,10,6,0.20001599676051915
1,10,7,0.39992801169829745
1,10,8,4.1992261194430864e-05
1,10,9,2.99934010888403e-10
1,10,10,2.99934010888403e-10
2,0,0,2.7269727602690983e-06
2,0,1,2.7269727602690983e-06
2,0,2,1.3634863801345495e-05
2,0,3,0.045455908940925605
2,0,4,0.2727218187817522
2,0,5,0.09090909090909091
2,0,6,0.2727218187817522
2,0,7,0.09090545494541057
2,0,8,0.22726136488622617
2,0,9,2.7269727602690983e-06
2,0,10,2.7269727602690983e-06
2,1,0,2.7269727602690983e-06
2,1,1,2.7269727602690983e-06
2,1,2,1.3634863801345495e-05
2,1,3,0.09090545494541058
2,1,4,0.2727218187817523
2,1,5,0.09090909090909093
2,1,6,0.2727218187817523
2,1,7,0.09090545494541057
2,1,8,0.18181181888174122
2,1,9,2.7269727602690983e-06
2,1,10,2.7269727602690983e-06
2,2,0,0.024793388429752067
2,2,1,0.024793388429752067
2,2,2,0.12396694214876038
2,2,3,0.0578512396694215
2,2,4,0.22314049586776863
2,2,5,0.09090909090909093
2,2,6,0.22314049586776863
2,2,7,0.0578512396694215
2,2,8,0.12396694214876038
2,2,9,0.024793388429752067
2,2,10,0.024793388429752067
2,3,0,2.7269727602690983e-06
2,3,1,2.7269727602690983e-06
2,3,2,1.3634863801345495e-05
2,3,3,0.09090545494541058
2,3,4,0.2727218187817523
2,3,5,0.09090909090909093
2,3,6,0.2727218187817523
2,3,7,0.09090545494541057
2,3,8,0.18181181888174122
2,3,9,2.7269727602690983e-06
2,3,10,2.7269727602690983e-06
2,4,0,2.726972760269098e-06
2,4,1,0.007577651306841095
2,4,2,0.09091272687277126
2,4,3,0.06818068194316806
2,4,4,0.24999704577950968
2,4,5,0.09090909090909091
2,4,6,0.26514689444767137
2,4,7,0.0757556062772489
2,4,8,0.12878734854317542
2,4,9,0.007577651306841095
2,4,10,0.015152575640921921
2,5,0,2.7269727602690983e-06
2,5,1,2.7269727602690983e-06
2,5,2,0.18181181888174125
2,5,3,0.09090545494541058
2,5,4,0.2727218187817523
2,5,5,0.09090909090909093
2,5,6,0.2727218187817523
2,5,7,0.09090545494541057
2,5,8,1.3634863801345495e-05
2,5,9,2.7269727602690983e-06
2,5,10,2.7269727602690983e-06
2,6,0,2.7269727602690983e-06
2,6,1,2.7269727602690983e-06
2,6,2,0.09091272687277129
2,6,3,0.0454559089409256
2,6,4,0.13637318076829733
2,6,5,0.09090909090909091
2,6,6,0.2727218187817522
2,6,7,0.09090545494541057
2,6,8,0.13636227287725625
2,6,9,0.04545227297724524
2,6,10,0.09090181898173019
2,7,0,0.005683920223320889
2,7,1,0.005683920223320889
2,7,2,0.08523153362221064
2,7,3,0.04545590894092559
2,7,4,0.20454749977502473
2,7,5,0.09090909090909091
2,7,6,0.2613594322806309
2,7,7,0.0738618751937287
2,7,8,0.15908704587949873
2,7,9,0.02840869322556337
2,7,10,0.03977107972668461
2,8,0,2.7269727602690983e-06
2,8,1,2.7269727602690983e-06
2,8,2,0.04546318086828633
2,8,3,0.022731135938683106
2,8,4,0.20454749977502476
2,8,5,0.09090909090909093
2,8,6,0.2727218187817522
2,8,7,0.09090545494541057
2,8,8,0.2045365918839837
2,8,9,0.02272749997500275
2,8,10,0.04545227297724524
2,9,0,2.726972760269098e-06
2,9,1,2.726972760269098e-06
2,9,2,1.3634863801345492e-05
2,9,3,6.362936440627896e-06
2,9,4,0.18182272677278222
2,9,5,0.0909090909090909
2,9,6,0.27272181878175217
2,9,7,0.09090545494541054
2,9,8,0.2727109108907111
2,9,9,0.06060212164540688
2,9,10,0.03030242430908357
2,10,0,2.7269727602690983e-06
2,10,1,2.7269727602690983e-06
2,10,2,1.3634863801345495e-05
2,10,3,6.362936440627898e-06
2,10,4,0.2727218187817523
2,10,5,0.09090909090909093
2,10,6,0.2727218187817523
2,10,7,0.09090545494541058
2,10,8,0.27271091089071114
2,10,9,2.7269727602690983e-06
2,10,10,2.7269727602690983e-06
3,0,0,2.99934010888403e-10
3,0,1,2.99934010888403e-10
3,0,2,1.4996700544420154e-09
3,0,3,1.4997400390445556e-05
3,0,4,5.9989501583778585e-05
3,0,5,1.9996700483933455e-05
3,0,6,0.9998400257962604
3,0,7,1.9996300571918937e-05
3,0,8,4.499160130331489e-05
3,0,9,2.99934010888403e-10
3,0,10,2.99934010888403e-10
3,1,0,2.999340108884031e-10
3,1,1,2.999340108884031e-10
3,1,2,1.4996700544420156e-09
3,1,3,1.9996300571918943e-05
3,1,4,5.998950158377861e-05
3,1,5,1.999670048393346e-05
3,1,6,0.9998400257962606
3,1,7,1.9996300571918943e-05
3,1,8,3.999270112184152e-05
3,1,9,2.999340108884031e-10
3,1,10,2.999340108884031e-10
3,2,0,2.726972760269098e-06
3,2,1,2.726972760269098e-06
3,2,2,1.3634863801345492e-05
3,2,3,0.09090545494541054
3,2,4,0.2727218187817522
3,2,5,0.09090909090909091
3,2,6,0.2727218187817522
3,2,7,0.09090545494541057
3,2,8,0.18181181888174122
3,2,9,2.726972760269098e-06
3,2,10,2.726972760269098e-06
3,3,0,2.999340108884031e-10
3,3,1,2.999340108884031e-10
3,3,2,1.4996700544420156e-09
3,3,3,1.9996300571918943e-05
3,3,4,5.998950158377861e-05
3,3,5,1.999670048393346e-05
3,3,6,0.9998400257962606
3,3,7,1.9996300571918943e-05
3,3,8,3.999270112184152e-05
3,3,9,2.999340108884031e-10
3,3,10,2.999340108884031e-10
3,4,0,2.999340108884031e-10
3,4,1,8.334499642564524e-07
3,4,2,9.99930003300121e-06
3,4,3,1.7496850481182248e-05
3,4,4,0.16668749610060585
3,4,5,0.24996500577415318
3,4,6,0.4999491744988919
3,4,7,1.8330000511427813e-05
3,4,8,0.08334916367546649
3,4,9,8.334499642564524e-07
3,4,10,1.6665999945020163e-06
3,5,0,2.99934010888403e-10
3,5,1,2.99934010888403e-10
3,5,2,1.9997100395947976e-05
3,5,3,1.999630057191894e-05
3,5,4,5.99895015837786e-05
3,5,5,0.9998000329951606
3,5,6,5.99895015837786e-05
3,5,7,1.999630057191894e-05
3,5,8,1.9997100395947976e-05
3,5,9,2.99934010888403e-10
3,5,10,2.99934010888403e-10
3,6,0,2.999340108884031e-10
3,6,1,2.999340108884031e-10
3,6,2,9.99930003300121e-06
3,6,3,1.4997400390445558e-05
3,6,4,4.4992801039358446e-05
3,6,5,0.49991001484782227
3,6,6,5.99895015837786e-05
3,6,7,1.999630057191894e-05
3,6,8,0.49992501194827876
3,6,9,4.9992001154842725e-06
3,6,10,9.998100296957656e-06
3,7,0,6.251624566950613e-07
3,7,1,6.251624566950613e-07
3,7,2,9.374437510317035e-06
3,7,3,1.4997400390445556e-05
3,7,4,0.18751124795656351
3,7,5,0.18747875350573584
3,7,6,0.31249000111862485
3,7,7,0.06250437398142115
3,7,8,0.24998250232470026
3,7,9,3.124612547431753e-06
3,7,10,4.374337592800099e-06
3,8,0,2.999340108884031e-10
3,8,1,2.999340108884031e-10
3,8,2,5.000399851527828e-06
3,8,3,1.2497950299708866e-05
3,8,4,5.249115131156852e-05
3,8,5,0.24996500577415323
3,8,6,0.49995000764892206
3,8,7,1.999630057191894e-05
3,8,8,0.24998750122488184
3,8,9,2.49975002474758e-06
3,8,10,4.9992001154842725e-06
3,9,0,2.999340108884031e-10
3,9,1,2.999340108884031e-10
3,9,2,1.4996700544420156e-09
3,9,3,9.998500208972174e-06
3,9,4,4.999170122083184e-05
3,9,5,1.9996700483933458e-05
3,9,6,0.33332000159980935
3,9,7,0.3332800083987975
3,9,8,0.3333100025997103
3,9,9,6.6655001759754e-06
3,9,10,3.332900054993144e-06
3,10,0,2.99934010888403e-10
3,10,1,2.99934010888403e-10
3,10,2,1.4996700544420154e-09
3,10,3,9.998500208972172e-06
3,10,4,5.99895015837786e-05
3,10,5,1.9996700483933458e-05
3,10,6,0.9998400257962604
3,10,7,1.999630057191894e-05
3,10,8,4.9990501484788274e-05
3,10,9,2.99934010888403e-10
3,10,10,2.99934010888403e-10
4,0,0,2.99934010888403e-10
4,0,1,5.55733287507931e-07
4,0,2,6.111266558521911e-06
4,0,3,9.998500208972172e-06
4,0,4,0.05559665965104605
4,0,5,0.11110666739989243
4,0,6,0.4444061168658643
4,0,7,0.13887777924147904
4,0,8,0.24998944524161892
4,0,9,2.777466701496101e-06
4,0,10,3.888333408490186e-06
4,1,0,2.99934010888403e-10
4,1,1,5.55733287507931e-07
4,1,2,6.111266558521911e-06
4,1,3,1.4997400390445554e-05
4,1,4,0.055596659651046064
4,1,5,0.22219333809930097
4,1,6,0.4444061168658644
4,1,7,0.055562776216922675
4,1,8,0.22221277866658534
4,1,9,2.777466701496101e-06
4,1,10,3.888333408490186e-06
4,2,0,2.726972760269098e-06
4,2,1,0.005052676528814154
4,2,2,0.05556307998039408
4,2,3,0.045455908940925584
4,2,4,0.21212242410910556
4,2,5,0.0909090909090909
4,2,6,0.26767186922569824
4,2,7,0.08585550538935666
4,2,8,0.1767618693256873
4,2,9,0.02525247475302969
4,2,10,0.03535237386513746
4,3,0,2.99934010888403e-10
4,3,1,5.55733287507931e-07
4,3,2,6.111266558521911e-06
4,3,3,1.4997400390445554e-05
4,3,4,0.055596659651046064
4,3,5,0.22219333809930097
4,3,6,0.4444061168658644
4,3,7,0.055562776216922675
4,3,8,0.22221277866658534
4,3,9,2.777466701496101e-06
4,3,10,3.888333408490186e-06
4,4,0,2.999340108884031e-10
4,4,1,1.388883317753495e-06
4,4,2,0.00927333162520551
4,4,3,0.032412776904293866
4,4,4,0.15742360834207986
4,4,5,0.15276416891217068
4,4,6,0.35183305813299365
4,4,7,0.11573305654570845
4,4,8,0.15740638870838536
4,4,9,0.004632221895873763
4,4,10,0.018519999750037066
4,5,0,2.9993401088840293e-10
4,5,1,5.557332875079309e-07
4,5,2,2.6106867284415434e-05
4,5,3,0.0555583327500947
4,5,4,0.2222266657001588
4,5,5,0.22219333809930092
4,5,6,0.3333194461664558
4,5,7,0.16664944691633113
4,5,8,1.9441667042450927e-05
4,5,9,2.7774667014961007e-06
4,5,10,3.888333408490185e-06
4,6,0,2.999340108884031e-10
4,6,1,5.557332875079311e-07
4,6,2,1.6109066921468676e-05
4,6,3,0.0277816661750611
4,6,4,0.1111249983002059
4,6,5,0.11110666739989244
4,6,6,0.19446110779219516
4,6,7,0.1944211145911833
4,6,8,0.2222077797664039
4,6,9,0.0277794440417351
4,6,10,0.11110055683317994
4,7,0,6.251624566950613e-07
4,7,1,1.1805958101921037e-06
4,7,2,0.024315693419894393
4,7,3,0.010424373878278522
4,7,4,0.1458470812440433
4,7,5,0.10416375048117942
4,7,6,0.2881892364697758
4,7,7,0.13540444619455447
4,7,8,0.21526736229778157
4,7,9,0.024306110994810528
4,7,10,0.05208013926141502
4,8,0,2.999340108884031e-10
4,8,1,5.557332875079311e-07
4,8,2,1.1110166739995297e-05
4,8,3,0.0138933328875443
4,8,4,0.08336082897562601
4,8,5,0.0555633320501882
4,8,6,0.31943361232902984
4,8,7,0.20830694842860942
4,8,8,0.24998694579152828
4,8,9,0.013891110754218297
4,8,10,0.055552222583294224
4,9,0,2.999340108884031e-10
4,9,1,5.557332875079311e-07
4,9,2,6.1112665585219115e-06
4,9,3,4.99960002749879e-06
4,9,4,0.01855777161754696
4,9,5,0.01853444181705202
4,9,6,0.3148050010498878
4,9,7,0.14813500179976313
4,9,8,0.37033833739949307
4,9,9,0.07406722313321581
4,9,10,0.05555055628323373
4,10,0,2.99934010888403e-10
4,10,1,5.55733287507931e-07
4,10,2,6.111266558521911e-06
4,10,3,4.999600027498789e-06
4,10,4,0.055596659651046064
4,10,5,1.9996700483933455e-05
4,10,6,0.44440611686586434
4,10,7,0.22219278226603545
4,10,8,0.27776611181665256
4,10,9,2.777466701496101e-06
4,10,10,3.888333408490186e-06
5,0,0,2.7269727602690983e-06
5,0,1,2.7269727602690983e-06
5,0,2,1.3634863801345495e-05
5,0,3,0.045455908940925605
5,0,4,0.2727218187817522
5,0,5,0.09090909090909091
5,0,6,0.2727218187817522
5,0,7,0.09090545494541057
5,0,8,0.22726136488622617
5,0,9,2.7269727602690983e-06
5,0,10,2.7269727602690983e-06
5,1,0,2.7269727602690983e-06
5,1,1,2.7269727602690983e-06
5,1,2,1.3634863801345495e-05
5,1,3,0.09090545494541058
5,1,4,0.2727218187817523
5,1,5,0.09090909090909093
5,1,6,0.2727218187817523
5,1,7,0.09090545494541057
5,1,8,0.18181181888174122
5,1,9,2.7269727602690983e-06
5,1,10,2.7269727602690983e-06
5,2,0,0.024793388429752067
5,2,1,0.024793388429752067
5,2,2,0.12396694214876038
5,2,3,0.0578512396694215
5,2,4,0.22314049586776863
5,2,5,0.09090909090909093
5,2,6,0.22314049586776863
5,2,7,0.0578512396694215
5,2,8,0.12396694214876038
5,2,9,0.024793388429752067
5,2,10,0.024793388429752067
5,3,0,2.7269727602690983e-06
5,3,1,2.7269727602690983e-06
5,3,2,1.3634863801345495e-05
5,3,3,0.09090545494541058
5,3,4,0.2727218187817523
5,3,5,0.09090909090909093
5,3,6,0.2727218187817523
5,3,7,0.09090545494541057
5,3,8,0.18181181888174122
5,3,9,2.7269727602690983e-06
5,3,10,2.7269727602690983e-06
5,4,0,2.726972760269098e-06
5,4,1,0.007577651306841095
5,4,2,0.09091272687277126
5,4,3,0.06818068194316806
5,4,4,0.24999704577950968
5,4,5,0.09090909090909091
5,4,6,0.26514689444767137
5,4,7,0.0757556062772489
5,4,8,0.12878734854317542
5,4,9,0.007577651306841095
5,4,10,0.015152575640921921
5,5,0,2.7269727602690983e-06
5,5,1,2.7269727602690983e-06
5,5,2,0.18181181888174125
5,5,3,0.09090545494541058
5,5,4,0.2727218187817523
5,5,5,0.09090909090909093
5,5,6,0.2727218187817523
5,5,7,0.09090545494541057
5,5,8,1.3634863801345495e-05
5,5,9,2.7269727602690983e-06
5,5,10,2.7269727602690983e-06
5,6,0,2.7269727602690983e-06
5,6,1,2.7269727602690983e-06
5,6,2,0.09091272687277129
5,6,3,0.0454559089409256
5,6,4,0.13637318076829733
5,6,5,0.09090909090909091
5,6,6,0.2727218187817522
5,6,7,0.09090545494541057
5,6,8,0.13636227287725625
5,6,9,0.04545227297724524
5,6,10,0.09090181898173019
5,7,0,0.005683920223320889
5,7,1,0.005683920223320889
5,7,2,0.08523153362221064
5,7,3,0.04545590894092559
5,7,4,0.20454749977502473
5,7,5,0.09090909090909091
5,7,6,0.2613594322806309
5,7,7,0.0738618751937287
5,7,8,0.15908704587949873
5,7,9,0.02840869322556337
5,7,10,0.03977107972668461
5,8,0,2.7269727602690983e-06
5,8,1,2.7269727602690983e-06
5,8,2,0.04546318086828633
5,8,3,0.022731135938683106
5,8,4,0.20454749977502476
5,8,5,0.09090909090909093
5,8,6,0.2727218187817522
5,8,7,0.09090545494541057
5,8,8,0.2045365918839837
5,8,9,0.02272749997500275
5,8,10,0.04545227297724524
5,9,0,2.726972760269098e-06
5,9,1,2.726972760269098e-06
5,9,2,1.3634863801345492e-05
5,9,3,6.362936440627896e-06
5,9,4,0.18182272677278222
5,9,5,0.0909090909090909
5,9,6,0.27272181878175217
5,9,7,0.09090545494541054
5,9,8,0.2727109108907111
5,9,9,0.06060212164540688
5,9,10,0.03030242430908357
5,10,0,2.7269727602690983e-06
5,10,1,2.7269727602690983e-06
5,10,2,1.3634863801345495e-05
5,10,3,6.362936440627898e-06
5,10,4,0.2727218187817523
5,10,5,0.09090909090909093
5,10,6,0.2727218187817523
5,10,7,0.09090545494541058
5,10,8,0.27271091089071114
5,10,9,2.7269727602690983e-06
5,10,10,2.7269727602690983e-06
6,0,0,2.7269727602690983e-06
6,0,1,2.7269727602690983e-06
6,0,2,1.3634863801345495e-05
6,0,3,0.045455908940925605
6,0,4,0.2727218187817522
6,0,5,0.09090909090909091
6,0,6,0.2727218187817522
6,0,7,0.09090545494541057
6,0,8,0.22726136488622617
6,0,9,2.7269727602690983e-06
6,0,10,2.7269727602690983e-06
6,1,0,2.7269727602690983e-06
6,1,1,2.7269727602690983e-06
6,1,2,1.3634863801345495e-05
6,1,3,0.09090545494541058
6,1,4,0.2727218187817523
6,1,5,0.09090909090909093
6,1,6,0.2727218187817523
6,1,7,0.09090545494541057
6,1,8,0.18181181888174122
6,1,9,2.7269727602690983e-06
6,1,10,2.7269727602690983e-06
6,2,0,0.024793388429752067
6,2,1,0.024793388429752067
6,2,2,0.12396694214876038
6,2,3,0.0578512396694215
6,2,4,0.22314049586776863
6,2,5,0.09090909090909093
6,2,6,0.22314049586776863
6,2,7,0.0578512396694215
6,2,8,0.12396694214876038
6,2,9,0.024793388429752067
6,2,10,0.024793388429752067
6,3,0,2.7269727602690983e-06
6,3,1,2.7269727602690983e-06
6,3,2,1.3634863801345495e-05
6,3,3,0.09090545494541058
6,3,4,0.2727218187817523
6,3,5,0.09090909090909093
6,3,6,0.2727218187817523
6,3,7,0.09090545494541057
6,3,8,0.18181181888174122
6,3,9,2.7269727602690983e-06
6,3,10,2.7269727602690983e-06
6,4,0,2.726972760269098e-06
6,4,1,0.007577651306841095
6,4,2,0.09091272687277126
6,4,3,0.06818068194316806
6,4,4,0.24999704577950968
6,4,5,0.09090909090909091
6,4,6,0.26514689444767137
6,4,7,0.0757556062772489
6,4,8,0.12878734854317542
6,4,9,0.007577651306841095
6,4,10,0.015152575640921921
6,5,0,2.7269727602690983e-06
6,5,1,2.7269727602690983e-06
6,5,2,0.18181181888174125
6,5,3,0.09090545494541058
6,5,4,0.2727218187817523
6,5,5,0.09090909090909093
6,5,6,0.2727218187817523
6,5,7,0.09090545494541057
6,5,8,1.3634863801345495e-05
6,5,9,2.7269727602690983e-06
6,5,10,2.7269727602690983e-06
6,6,0,2.7269727602690983e-06
6,6,1,2.7269727602690983e-06
6,6,2,0.09091272687277129
6,6,3,0.0454559089409256
6,6,4,0.13637318076829733
6,6,5,0.09090909090909091
