id,first term gpa,first term standing,second term gpa,second term standing,third term gpa,third term standing,graduated
8884,0.387096774,G,0.266666667,G,0.32,G,1
8955,0.942857143,D,1,D,,D,0
8978,0,G,0,G,,G,1
9039,1.719565217,D,1.908988764,D,1.730555556,D,0
9042,2.063291139,G,,G,,G,1
9043,3.13125,D,3.03125,D,3.143478261,D,0
9057,2.5125,G,2.784375,G,3.069565217,G,1
9076,3.5375,G,3.2125,G,2.954347826,G,1
9105,1.952777778,G,,G,,G,1
9123,0.476470588,G,0.625,G,,G,1
9183,1.619642857,G,1.611764706,G,,G,1
9252,1.275,G,,G,,G,1
9304,2.25,G,2.4,G,2.475555556,G,1
9327,1.748484848,G,,G,,G,1
9352,1.8125,G,1.933333333,G,2.03030303,G,1
9365,3.594117647,G,3.4125,G,3.408510638,G,1
9370,4,G,4,G,4,G,1
9378,3.3625,G,3.477419355,G,3.437777778,G,1
9386,1.004347826,G,1.657692308,G,,G,1
9405,3.50625,G,3.006666667,G,3.036956522,G,1
9453,0.727777778,G,,G,,G,1
9460,0.666666667,G,0.8,G,,G,1
9506,0.4,G,0.133333333,G,,G,1
9534,0.1875,G,,G,,G,1
9572,3.613333333,G,2.993333333,G,2.830952381,G,1
9585,1.642592593,G,,G,,G,1
9771,0.866666667,G,,G,,G,1
9778,0.214285714,G,,G,,G,1
9803,0.214285714,G,0.542307692,G,,G,1
9916,2.124242424,G,1.967256637,G,,G,1
9931,3.929411765,G,3.842424242,G,3.8,G,1
9990,0,G,0,G,,G,1
10031,2.91875,G,2.906060606,G,2.734782609,G,1
10051,0,G,,G,,G,1
10174,2.91875,G,3.208823529,G,2.873469388,G,1
10325,2.785,G,,G,,G,1
10369,2.109589041,G,,G,,G,1
10420,1.943396226,G,,G,,G,1
10422,1.576136364,G,,G,,G,1
10448,1.2,G,,G,,G,1
10584,2.9,G,2.663333333,G,2.651219512,G,1
10592,1.793333333,G,1.918518519,G,1.997435897,D,1
10616,2.529411765,G,2.848484848,G,2.716326531,G,1
10634,1.61627907,P,,P,,G,1
10641,4,G,4,G,4,G,1
10654,0.2,G,,G,,G,1
10656,0.461538462,G,,G,,G,1
