student_id,term_number,course name,grade
1455,770,Fitness Assessment and Management,A
6714,770,Seasonal Activities,A
7585,770,Aerobic Weight Training,A
7763,770,Aerobic Weight Training,C
3752,770,Aerobic Weight Training,A
3176,770,Aerobic Weight Training,B
10420,770,Badminton,A
6454,770,Badminton,A
8444,770,Racquetball,A
6449,770,Personal Conditioning,A
9789,770,Personal Conditioning,A
1078,770,Personal Conditioning,A
7792,770,Tennis,A
6325,770,Yoga / Pilates,A
9330,770,Introduction to American Government,A
6714,770,Introduction to American Government,B
8806,770,International Relations,C
1196,770,International Relations,A
8045,770,The Judicial Process,D
8045,770,Civil Liberties,B
8045,770,Internship in Political Science,A
5677,770,General Psychology,D
6325,770,General Psychology,D
6454,770,General Psychology,B
9268,770,General Psychology,C
10529,770,General Psychology,B
9330,770,General Psychology,B
3752,770,Introduction to Sociology,C
9539,770,Introduction to Sociology,D
7792,770,Elementary Spanish,C
9789,770,Oral Communication for Professionals,A
10420,770,Oral Communication for Professionals,D
10529,770,Oral Communication for Professionals,A
7792,770,Oral Communication for Professionals,C
4020,770,Oral Communication for Professionals,B
8318,770,Communication & Leadership in Small Groups,B
9411,770,Introduction to the Theatre,B
3092,770,Women in Science and Engineering,A
68,770,Leadership and Management,B
4045,770,Leadership and Management,C
4045,770,Introduction to Programming,A
68,770,Programming in C++,B
68,770,Engineering Success Skills,B
4045,770,College Algebra,C
68,770,Calculus and Analytic Geometry I,D
4045,770,Art Survey,B
4045,770,Introduction to College Life,A
4045,770,College Writing I,B
68,770,College Writing I,B
68,770,Fitness Assessment and Management,A
7158,770,Leadership and Management,A
4318,770,Leadership and Management,F
700,770,Leadership and Management,B
9778,770,Leadership and Management,F
1623,770,Leadership and Management,C
7449,770,Leadership and Management,F
5435,770,Leadership and Management,B
5526,770,Leadership and Management,B
153,770,Leadership and Management,A
153,770,Introduction to Programming,A
5526,770,Introduction to Programming,C
4318,770,Programming in C++,F
5370,770,Programming in C++,C
836,770,Programming in C++,D
7134,770,Programming in C++,D
8966,770,Programming in C++,A
700,770,Programming in C++,B
8700,770,Programming in C++,A
2797,770,Programming in C++,B
2823,770,Programming in C++,C
5435,770,Programming in C++,B
5223,770,Programming in C++,C
2694,770,Programming in C++,B
7158,770,Programming in C++,B
702,770,Programming in C++,B
1904,770,Programming in C++,B
6239,770,Data Communications and Computer Networks,A
4318,770,Engineering Success Skills,F
7134,770,Engineering Success Skills,F
5223,770,Engineering Success Skills,B
2694,770,Engineering Success Skills,A
1904,770,Engineering Success Skills,A
3052,770,Engineering Success Skills,A
8302,770,Engineering Success Skills,F
836,770,Engineering Success Skills,F
8966,770,Engineering Success Skills,F
1623,770,Engineering Success Skills,C
8700,770,Engineering Success Skills,A
2797,770,Engineering Success Skills,F
5370,770,Engineering Success Skills,D
700,770,Engineering Success Skills,C
9778,770,Engineering Success Skills,F
2823,770,Engineering Success Skills,C
5435,770,Engineering Success Skills,A
7158,770,Engineering Success Skills,A
9535,770,Engineering Mechanics-Statics,F
153,770,Intermediate Algebra,A
3052,770,College Algebra,D
5435,770,College Algebra,B
5526,770,Elementary Statistics,B
5223,770,Precalculus,D
1904,770,Precalculus,C
7134,770,Precalculus,F
702,770,Precalculus,C
7158,770,Trigonometry and Analytic Geometry,B
2823,770,Calculus and Analytic Geometry I,F
700,770,Calculus and Analytic Geometry I,F
9778,770,Calculus and Analytic Geometry I,F
2694,770,Calculus and Analytic Geometry I,B
8302,770,Calculus and Analytic Geometry I,F
836,770,Calculus and Analytic Geometry I,D
2797,770,Calculus and Analytic Geometry I,B
4318,770,Calculus and Analytic Geometry I,F
8966,770,Calculus and Analytic Geometry I,B
5370,770,Calculus and Analytic Geometry I,F
7449,770,Calculus and Analytic Geometry II,F
8700,770,Calculus and Analytic Geometry II,D
9535,770,Calculus and Analytic Geometry III,F
6239,770,Statistical Methods with Applications,B
9535,770,General Physics II Laboratory,F
9535,770,General Physics II,F
1623,770,Object-Oriented Programming and Data Structures I,C
9778,770,Object-Oriented Programming and Data Structures II,F
7449,770,Object-Oriented Programming and Data Structures II,C
7449,770,Introduction to Software Engineering,F
6239,770,Object Oriented Analysis and Design,B
2694,770,Art Survey,B
1904,770,Art Survey,B
7134,770,Art Survey,B
8700,770,Art Survey,B
1623,770,Art Survey,A
2694,770,Introduction to College Life,A
1904,770,Introduction to College Life,A
153,770,Principles of Macroeconomics,B
6239,770,Principles of Microeconomics,A
5435,770,College Writing I,B
5223,770,College Writing I,C
2694,770,College Writing I,A
1904,770,College Writing I,B
3052,770,College Writing I,B
2823,770,College Writing I,C
7449,770,College Writing I,F
8302,770,College Writing I,F
836,770,College Writing I,F
8966,770,College Writing I,F
8700,770,College Writing I,A
7134,770,College Writing I,C
153,770,College Writing I,A
9778,770,College Writing I,F
4318,770,College Writing I,F
5370,770,College Writing I,B
7158,770,College Writing II,A
2797,770,College Writing II,A
5526,770,Technical Writing,C
702,770,Elementary German,B
3052,770,History of the United States to 1877,D
3052,770,Music Appreciation,A
5223,770,Music Appreciation,C
9535,770,Music Appreciation,F
7158,770,Music Appreciation,A
2823,770,Fitness Assessment and Management,B
8966,770,Fitness Assessment and Management,C
5223,770,Fitness Assessment and Management,A
2694,770,Fitness Assessment and Management,A
1904,770,Fitness Assessment and Management,A
4318,770,Fitness Assessment and Management,D
8302,770,Fitness Assessment and Management,C
836,770,Fitness Assessment and Management,B
5370,770,Fitness Assessment and Management,A
1623,770,Fitness Assessment and Management,B
8700,770,Fitness Assessment and Management,A
2797,770,Fitness Assessment and Management,C
153,770,Fitness Assessment and Management,A
3052,770,Fitness Assessment and Management,A
700,770,Fitness Assessment and Management,F
9778,770,Fitness Assessment and Management,B
3052,770,Seasonal Activities,A
2823,770,Volleyball,A
702,770,General Psychology,F
8302,770,General Psychology,F
5370,770,General Psychology,C
5435,770,Introduction to Sociology,A
2797,770,Introduction to the Theatre,B
7763,780,Financial Accounting,F
6395,780,Financial Accounting,D
1891,780,Financial Accounting,F
8806,780,Financial Accounting,D
8670,780,Management Accounting,C
7792,780,Accounting Issues for Managers,F
3293,780,Accounting Issues for Managers,C
4727,780,Accounting Issues for Managers,F
9539,780,BioQuest: Foundations for College Success,F
6714,780,Concepts of Biology,A
7128,780,Concepts of Biology,B
8884,780,General Botany,F
10529,780,The Diversity of Life,B
6456,780,Cell Biology,C
10529,780,Essentials of Anatomy and Physiology,B
10518,780,Essentials of Anatomy and Physiology,B
6456,780,Genetics,C
4135,780,Global Business,B
6788,780,Global Business,C
8806,780,Global Business,B
6714,780,Global Business,B
4020,780,Global Business,F
10518,780,Leadership and Management,A
2433,780,Leadership and Management,B
8318,780,Leadership and Management,D
9234,780,Leadership and Management,D
5676,780,Leadership and Management,C
6788,780,Leadership and Management,C
8444,780,Leadership and Management,B
9268,780,Leadership and Management,C
2197,780,"Management, Gender & Race",F
3293,780,Operations Management,A
7437,780,Software: Flash Basic,A
7437,780,Media Technologies III (Web),A
9411,780,Survey of General Chemistry,B
1579,780,General Chemistry I,B
1196,780,General Chemistry II,B
1235,780,Chemistry for Engineers,C
9789,780,Chemistry for Engineers,C
2046,780,Chemistry for Engineers,D
452,780,Chemistry for Engineers,C
6714,780,Introduction to Programming,A
5677,780,Introduction to Programming,B
4719,780,Introduction to Programming,A
6730,780,Introduction to Programming,A
5611,780,Introduction to Programming,A
9268,780,Introduction to Programming,B
