starting_column,unique_courses
1089,Movement for Theatre
1090,Multimedia Projects
1091,Municipal Hydraulics
1092,Music Appreciation
1094,"Music Media, Midi and Recording Technology"
1095,Music Theater
1096,Music Theory I: Music Theory Fundamentals with MIDI
1098,Music Theory II: Tonal Music Theory with MIDI
1099,"Music Theory III: Advanced Tonal Theory, Counterpoint, and Composition"
1100,Music Theory IV: 20th Century Music Theory
1101,Music Theory V: Form and Analysis
1102,Nanoscale Characterization and Fabrication
1103,Native America and Colonial Borderlands to 1887
1104,Native American Art
1105,"Native American History, What you thought you knew"
1106,Native American Music
1107,Nazi Germany and the Holocaust
1108,New Nation
1109,New Venture Operations
1110,"New Venture Planning: Social, Commercial, Scientific and Artistic Ventures"
1111,Noise Control
1112,Numerical Analysis
1113,Nutrition
1115,Object Oriented Analysis and Design
1118,Object-Oriented Programming and Data Structures I
1121,Object-Oriented Programming and Data Structures II
1124,Ontology and Ethics
1125,Operations Management
1126,Operations Research I
1128,Optical Systems
1129,Optimization with Engineering Applications
1130,Oral Communication for Professionals
1132,Orchestration and Arranging
1133,Organic Chemistry Laboratory
1135,Organic Chemistry Lecture
1138,"Organization, Administration, and Curriculum of Physical Education and Health"
1139,Organizational Behavior
1140,Origins of Western Philosophy
1141,Ornithology
1142,Outdoor Activities
1143,Painting I: Beginning Painting
1144,Painting II: Intermediate Painting
1145,Pavement Design and Analysis
1146,Pavement Maintenance and Rehab
1147,"Peace Studies: Issues, Ideas and Morality of Nuclear War"
1148,Perceptual Motor Learning and Motor Development
1149,Percussion Ensemble
1151,Percussion Techniques
1152,Performance for Electronic Media
1153,Personal Conditioning
1158,Personal Financial Planning
1159,Personal Fitness
1163,Personalized Learning Experience
1164,Philosophy in the Modern World
1166,Philosophy of Gender and Sexuality
1167,Philosophy of History
1168,Philosophy of Law
1169,Philosophy of Religion
1170,Phonetics
1171,Photography II
1172,Photography III
1173,Physical Chemistry
1176,Physical Chemistry Lab I
1177,Physical Chemistry Lab II
1178,Physical Geology
1180,Physical Science
1181,Physics of Sound
1182,Physiological Psychology
1183,Physiology of Exercise
1184,Piano Techniques - First Semester
1185,Piano Techniques - Fourth Semester
1186,Piano Techniques - Second Semester
1188,Piano Techniques - Third Semester
1189,Pioneer Steel Band
1193,Planet Earth
1195,Plant Communities of Wisconsin
1196,Plant Pathology
1197,Plastics Processing I
1198,Plastics Processing II
1199,Plastics Technology
1200,Play Analysis
1201,Poetry Writing
1202,Police Administration
1203,Police Ethics
1204,Police-Community Relations
1205,Political Science Field Trip
1206,Political Theory
1207,Politics of the Global Economy
1208,Post Student Teaching Seminar
1209,Power Electronics
1211,Power Plant Design
1212,Power Systems Analysis and Design
1214,Power Systems Technology
1215,Practicum I
1216,Practicum II
1218,Practicum in Adapted Physical Education
1219,Precalculus
1224,Predictive Analytics
1225,Presentation and Marketing
1226,Pre-Student Teaching at Middle/Secondary Level
1227,Principles and Applications of Nanotechnology
1228,Principles and Applications of Project Management
1229,Principles of Macroeconomics
1232,Principles of Microeconomics
1234,Principles of Physics
1236,Principles of Project Management and Sustainable Development
1238,Principles of Real Estate
1239,Principles of Safety and Risk Management
1240,Printmaking I
1241,Printmaking II
1242,Private Security Operations
1243,Private/Corporate Wellness Administration
1244,Process Geomorphology
1245,Producer and Consumer Cooperatives
1246,Production and Operations Analysis
1247,Production Capstone
1248,Production Foundations
1249,Production Planning and Control
1250,Professional Practice
1251,Professional Selling
1252,Programming in C++
1255,Programming in COBOL
1258,Programming in VB.NET
1260,Programming Language Structures
1263,Project Management in Reclamation and Restoration
1264,Project Management Techniques I
1265,Project Management Techniques II
1266,Project Scope Management
1267,Promotional Techniques
1268,Psychology and Religion
1269,Psychology and the Law
1270,Psychology of Adulthood and Aging
1271,Psychology of Coaching
1272,Psychology of Personal Adjustment
1273,Psychology of Women
1275,Public Relations Principles
1276,Purchasing Management
1277,Python for GIS
1278,Quality Assurance
1280,Quality Engineering
1281,Quality Management
1282,Quantitative Analysis
1283,Quantitative Methods in Farm and Agribusiness
1284,Race and Ethnicity in Film
1285,Race and Gender in American Film
1286,"Race, Gender, and Class"
1288,"Race, Gender, and United States Labor History"
1289,Racquet Sports
1294,Racquetball
1295,Racquetball/Badminton
1296,Reading in the Content Area for Middle Secondary Students
1297,Real Analysis
1299,Real-Time Embedded Systems Programming
1301,Recital Semester
1303,Reclamation & Restoration Field Trip
1304,Reclamation Internship
1305,Reclamation Revegetation
1306,Regulatory Compliance Management
1307,Reinforced Concrete Design
1309,Reinforced Concrete Structures
1310,Relaxation
1312,Remote Sensing of the Environment
1313,Renaissance Literature
1314,Research Experience
1315,Research Methods in Criminal Justice
1316,Research Methods in Forensic Investigation
1317,Residential Planning and Design
1318,Retailing
1319,Risk Management
1320,Rural Sociology
1321,Russia to 1856
1322,Safety and Worker Compensation Laws
1323,Safety Management Components
1324,Sales Management
1325,Scenic Design
1326,Scenic Painting
1327,Science Fiction
1328,"Science, Technology, and Ethics"
1331,Scuba Diving
1333,Seasonal Activities
1335,Second Language Acquisition
1336,Second Semester Lessons
1339,Secondary General Music Methods
1340,Self Defense
1341,Semiconductors
1343,Seminar
1345,Seminar in Community and Environmental Health Education
1346,Seminar in Creative Writing
1347,Seminar in Selected Topics in Political Science
1348,Seminar in Theatre
1350,Senior Art Show
1351,Senior Capstone
1352,Senior Design Project
1354,Senior Seminar
1355,Senior Thesis
1356,Sensor Lab
1357,Seventh Semester Lessons
1359,Shakespeare
1360,Short Term Faculty-Led International Experience in Energy
1361,Signals and Systems
1364,Site Design and Stormwater Management
1365,Sixth Semester Lessons
1367,Small Business Management
1368,Soccer
