first term gpa,first term standing,graduated
3.25,4,1
3.594117647,4,1
4,4,1
3.3625,4,1
1.004347826,3,0
3.50625,4,1
1.907142857,4,1
0.727777778,3,0
0.666666667,3,0
1.2875,3,0
2.186666667,4,1
1.116666667,3,0
0.4,3,0
0.677419355,3,0
1.351612903,3,0
3.4375,4,1
2.610778443,3,0
0.1875,3,0
1.5,3,0
1.565217391,3,0
3.373333333,4,1
1.798095238,3,0
3.613333333,4,1
1.248333333,3,0
1.642592593,3,0
1.244827586,3,0
3.034615385,3,0
1.413793103,3,0
0,3,0
2.553333333,3,0
0.714285714,3,0
1.697674419,3,0
3.533333333,4,1
3.13125,4,1
0.866666667,3,0
0.214285714,3,0
3.266666667,4,1
1.541463415,3,0
0.214285714,3,0
3.7125,4,1
3.98,4,1
2.124242424,3,0
3.929411765,4,1
3.428571429,4,1
0,3,0
2.91875,4,1
1.574074074,3,0
0,3,0
2.125,4,1
0.996,3,0
2.91875,4,1
2.111111111,3,0
2.785,3,0
2.571428571,3,0
2.95,4,1
1.806944444,3,0
2.109589041,3,0
3.007692308,4,1
3.18,4,1
1.943396226,3,0
1.576136364,3,0
4,4,1
0,3,0
1.2,3,0
1.856140351,3,0
2.088235294,3,0
1.746428571,3,0
2.307692308,4,1
2,4,1
2.9,4,1
1.793333333,2,1
2.529411765,4,1
1.61627907,3,0
4,4,1
3.076923077,4,1
0.2,3,0
0.461538462,3,0
3.615384615,4,1
