,Unnamed: 0,student_id,semester,year,grade,term_number
285,12830,7948,spring,,C,0
286,12831,2545,spring,,B,0
287,12832,4483,spring,,D,0
288,12833,4712,spring,,F,0
289,12834,3801,spring,,C,0
290,12835,1455,spring,,C,0
291,12836,3313,spring,,F,0
292,12837,2760,spring,,C,0
293,12838,9062,spring,,D,0
294,12839,4831,spring,,C,0
295,12840,6009,spring,,F,0
296,12841,6020,spring,,C,0
297,12842,5872,spring,,D,0
298,12843,8014,spring,,C,0
299,12844,869,spring,,F,0
300,12845,10569,spring,,F,0
301,12846,9191,spring,,D,0
302,13454,7883,spring,,A,0
303,13455,3334,spring,,B,0
304,13456,7563,spring,,B,0
305,13690,503,spring,,F,0
306,13691,3107,spring,,D,0
307,13692,1939,spring,,F,0
308,13693,8485,spring,,F,0
309,13976,8884,summer,850.0,D,0
310,14735,9834,fall,890.0,F,0
311,14736,10412,fall,890.0,D,0
312,14737,2394,fall,890.0,C,0
313,14738,5616,fall,890.0,C,0
314,14739,348,fall,890.0,C+,0
315,14740,9274,fall,890.0,D,0
316,14741,9533,fall,890.0,A-,0
317,14742,9234,fall,890.0,B+,0
318,14743,970,fall,890.0,D,0
319,14744,16,fall,890.0,D,0
320,14745,5676,fall,890.0,C-,0
321,14746,9534,fall,890.0,F,0
322,14747,7958,fall,890.0,B,0
323,14748,5215,fall,890.0,F,0
324,14749,7053,fall,890.0,C,0
325,14750,5108,fall,890.0,F,0
326,14751,4712,fall,890.0,F,0
327,14752,32,fall,890.0,C+,0
328,14753,2121,fall,890.0,C,0
329,14754,6026,fall,890.0,D,0
330,14755,9532,fall,890.0,D,0
331,14756,1086,fall,890.0,C,0
332,14757,2456,fall,890.0,D,0
333,14758,10174,fall,890.0,D+,0
334,14759,3539,fall,890.0,D,0
335,15533,9043,fall,890.0,A-,0
336,15534,4864,fall,890.0,B,0
337,15535,5023,fall,890.0,B,0
338,15536,8086,fall,890.0,C-,0
339,15537,2748,fall,890.0,F,0
340,15538,7923,fall,890.0,A,0
341,15539,3895,fall,890.0,A,0
342,15540,1930,fall,890.0,B,0
343,15541,2993,fall,890.0,B,0
344,15542,2669,fall,890.0,A-,0
345,15543,9866,fall,890.0,B+,0
346,15544,43,fall,890.0,D,0
347,15953,7787,fall,890.0,B,0
348,15954,8485,fall,890.0,F,0
349,15955,280,fall,890.0,B+,0
350,15957,4687,fall,890.0,C,0
351,15958,540,fall,890.0,F,0
352,15959,10643,fall,890.0,C,0
353,15960,9585,fall,890.0,D,0
354,15961,3118,fall,890.0,B,0
355,15962,3564,fall,890.0,B-,0
356,16774,9191,spring,,B,0
357,16775,7896,spring,,B,0
358,16776,6449,spring,,C+,0
359,16777,4368,spring,,D,0
360,16778,7987,spring,,C-,0
361,16779,9386,spring,,F,0
362,16780,2121,spring,,F,0
