student_id,term_number,course_name,grade
6239,740,Object-Oriented Programming and Data Structures I,B
849,740,Object-Oriented Programming and Data Structures I,D
2782,740,Object-Oriented Programming and Data Structures I,F
4117,740,Object-Oriented Programming and Data Structures I,C
6301,740,Object-Oriented Programming and Data Structures I,B
5780,740,Object-Oriented Programming and Data Structures II,C
891,740,Object-Oriented Programming and Data Structures II,A
9540,740,Object-Oriented Programming and Data Structures II,B
1213,740,Object-Oriented Programming and Data Structures II,B
9990,740,Object-Oriented Programming and Data Structures II,F
1079,740,Object-Oriented Programming and Data Structures II,B
5447,740,Object-Oriented Programming and Data Structures II,B
922,740,Object-Oriented Programming and Data Structures II,B
7568,740,Object-Oriented Programming and Data Structures II,F
5947,740,Object-Oriented Programming and Data Structures II,B
10132,740,Object-Oriented Programming and Data Structures II,C
864,740,Object-Oriented Programming and Data Structures II,A
8222,740,Object-Oriented Programming and Data Structures II,B
4001,740,Object-Oriented Programming and Data Structures II,B
3576,740,Object-Oriented Programming and Data Structures II,A
5447,740,Introduction to Software Engineering,B
1358,740,Introduction to Software Engineering,C
6239,740,Introduction to Software Engineering,B
7568,740,Introduction to Software Engineering,C
5947,740,Introduction to Software Engineering,B
10132,740,Introduction to Software Engineering,B
864,740,Introduction to Software Engineering,A
3576,740,Introduction to Software Engineering,A
4117,740,Introduction to Software Engineering,B
556,740,Introduction to Software Engineering,B
922,740,Object Oriented Analysis and Design,A
1213,740,Object Oriented Analysis and Design,A
9990,740,Object Oriented Analysis and Design,F
1079,740,Object Oriented Analysis and Design,A
8318,740,Drawing I: Basic Drawing,C
8318,740,Basic Design I: 2-D,C
6325,740,Art Survey,B
5780,740,Art Survey,B
8685,740,Art Survey,B
3576,740,Art Survey,B
7677,740,Art Survey,B
4680,740,East Asian Art,F
160,740,Introduction to College Life,A
9964,740,Introduction to Criminal Justice,A
7849,740,Principles of Macroeconomics,B
10577,740,Principles of Macroeconomics,B
2433,740,Principles of Macroeconomics,B
1665,740,Principles of Macroeconomics,C
8434,740,Principles of Macroeconomics,C
1500,740,Principles of Macroeconomics,A
9964,740,Principles of Macroeconomics,C
6454,740,Principles of Macroeconomics,B
